Ticker,Name,Price,NWCI,CFOA,D/E,PAT,Dependent variables,,,,,
GLXO IS Equity,GlaxoSmithKline Pharmaceuticals Ltd,3223,0,0,0.170341,0,1,,,,,
KSCL IS Equity,Kaveri Seed Co Ltd,405.5,1689.58154,1461506048,0.190118998,2895556864,1,,,,,
PSYS IS Equity,Persistent Systems Ltd,604.45,-46,2637830016,0.198335007,2382258048,1,,,,,
KSB IS Equity,KSB Pumps Ltd,590,-332.17,547939968,0.215642005,511174880,1,,,,,
FDCLT IS Equity,FDC Ltd/India,187.95,234.983,1404024064,0.220615998,1279802368,1,,,,,
TCS IS Equity,Tata Consultancy Services Ltd,2337.95,-28369.6,2.06E+11,0.261072993,1.92E+11,1,,,,,
BHE IS Equity,Bharat Electronics Ltd,1080.35,-5614.64,18626236416,0.303611994,7977398784,1,,,,,
NITEC IS Equity,NIIT Technologies Ltd,471,-1926.996158,2581665792,0.364401013,1844977792,1,,,,,
GMDC IS Equity,Gujarat Mineral Development Corp Ltd,67.5,632.371,2012878976,0.405021995,3067929088,1,,,,,
SIEM IS Equity,Siemens Ltd,1034.8,0,6880000000,0.492408991,5831392768,1,,,,,
HCLT IS Equity,HCL Technologies Ltd,821.3,15873.3,0,0.591004014,64352083968,1,,,,,
DIVI IS Equity,Divi's Laboratories Ltd,1019.85,793.047,8652318720,0.761632979,8182599168,1,,,,,
ITC IS Equity,ITC Ltd,316.9,-12728.5,1.07E+11,0.841036022,89031966720,1,,,,,
GBNP IS Equity,Geojit BNP Paribas Financial Services Lt,31.9,0,608478464,0.892414987,819458816,1,,,,,
COAL IS Equity,Coal India Ltd,325.3,8269.7,1.97E+11,1.010220051,97900797952,1,,,,,
BJAUT IS Equity,Bajaj Auto Ltd,2324,5947,22325899264,1.012585044,27299319808,1,,,,,
HUVR IS Equity,Hindustan Unilever Ltd,835.95,-2452.7,33486600192,1.063650966,35183611904,1,,,,,
JFI IS Equity,Jai Corp Ltd,71.4,-1455.775,913228032,1.173822999,421497024,1,,,,,
TVTN IS Equity,TV Today Network Ltd,304.4,11.703925,837515200,1.494601011,757978432,1,,,,,
EXID IS Equity,Exide Industries Ltd,134.35,4051.5,6677400064,1.496178031,7198170624,1,,,,,
HMCL IS Equity,Hero MotoCorp Ltd,2807.8501,12396.1,23058599936,1.524729967,21462343680,1,,,,,
BOS IS Equity,Bosch Ltd,17903.9004,0,14717100032,1.527153969,11351096320,1,,,,,
